date,open,high,low,close,volume
2025-01-02,6.235,6.245,6.224,6.241,459590
2025-01-03,6.284,6.299,6.279,6.292,1052207
2025-01-06,6.286,6.289,6.248,6.253,1497452
2025-01-07,6.253,6.274,6.251,6.266,714267
2025-01-08,6.276,6.298,6.276,6.295,440116
2025-01-09,6.302,6.328,6.299,6.328,457113
2025-01-10,6.347,6.378,6.342,6.377,776791
2025-01-13,6.38,6.401,6.373,6.387,1596440
2025-01-14,6.341,6.344,6.328,6.337,954791
2025-01-15,6.341,6.378,6.339,6.375,897534
2025-01-16,6.402,6.412,6.381,6.391,547456
2025-01-17,6.415,6.434,6.405,6.408,540546
2025-01-20,6.355,6.402,6.355,6.402,810084
2025-01-21,6.367,6.403,6.367,6.4,526676
2025-01-22,6.443,6.491,6.443,6.457,1108300
2025-01-23,6.461,6.469,6.455,6.459,438684
2025-01-24,6.485,6.5,6.472,6.492,485342
2025-01-27,6.494,6.494,6.455,6.476,642548
2025-02-05,6.679,6.722,6.669,6.721,997561
2025-02-06,6.741,6.741,6.691,6.692,618424
2025-02-07,6.711,6.721,6.697,6.701,425632
2025-02-10,6.745,6.808,6.745,6.805,805417
2025-02-11,6.906,6.943,6.82,6.875,1860269
2025-02-12,6.835,6.838,6.798,6.828,1027230
2025-02-13,6.855,6.879,6.851,6.861,1054875
2025-02-14,6.889,6.902,6.88,6.899,704999
2025-02-17,6.751,6.797,6.751,6.781,1024159
2025-02-18,6.792,6.851,6.785,6.844,624103
2025-02-19,6.882,6.917,6.867,6.891,828341
2025-02-20,6.908,6.91,6.887,6.909,679217
2025-02-21,6.897,6.9,6.835,6.857,1183930
2025-02-24,6.835,6.877,6.835,6.871,831212
2025-02-25,6.898,6.905,6.867,6.871,712606
2025-02-26,6.856,6.861,6.803,6.806,682855
2025-02-27,6.824,6.832,6.771,6.785,865467
2025-02-28,6.771,6.777,6.721,6.727,648289
2025-03-03,6.735,6.745,6.72,6.738,493910
2025-03-04,6.784,6.797,6.772,6.786,500259
2025-03-05,6.809,6.842,6.809,6.838,499131
2025-03-06,6.824,6.836,6.816,6.825,401964
2025-03-07,6.805,6.819,6.791,6.814,340131
2025-03-10,6.821,6.831,6.817,6.831,302214
2025-03-11,6.781,6.797,6.773,6.796,608876
2025-03-12,6.802,6.823,6.801,6.814,443752
2025-03-13,6.866,6.875,6.859,6.864,405102
2025-03-14,6.986,6.986,6.957,6.968,557279
2025-03-17,6.968,6.973,6.952,6.971,1379141
2025-03-18,6.987,7.031,6.987,7.026,515619
2025-03-19,7.055,7.109,7.054,7.098,665915
2025-03-20,7.124,7.124,7.102,7.114,600117
2025-03-21,7.114,7.114,7.061,7.074,548887
2025-03-24,7.069,7.082,7.06,7.079,362687
2025-03-25,7.064,7.077,7.051,7.073,438016
2025-03-26,7.081,7.098,7.075,7.096,470821
2025-03-27,7.103,7.121,7.094,7.113,457883
2025-03-28,7.209,7.247,7.201,7.247,908263
2025-03-31,7.276,7.35,7.261,7.317,1651276
2025-04-01,7.369,7.416,7.357,7.375,1852119
2025-04-02,7.382,7.401,7.329,7.344,1082083
2025-04-03,7.453,7.503,7.38,7.407,1879639
2025-04-07,7.169,7.321,7.11,7.178,2956087
2025-04-08,7.177,7.257,7.155,7.217,1645351
2025-04-09,7.188,7.298,7.188,7.298,1694569
2025-04-10,7.389,7.494,7.384,7.476,2702507
2025-04-11,7.688,7.69,7.542,7.589,2646740
2025-04-14,7.612,7.68,7.612,7.654,1886808
2025-04-15,7.654,7.661,7.642,7.651,1104588
2025-04-16,7.772,7.838,7.753,7.838,2400029
2025-04-17,8.016,8.016,7.878,7.901,2596761
2025-04-18,7.9,7.929,7.871,7.919,1694477
2025-04-21,8.023,8.069,8.017,8.066,1929200
2025-04-22,8.22,8.397,8.219,8.353,5084915
2025-04-23,8.1,8.105,7.829,7.831,6378194
2025-04-24,7.984,8.055,7.886,7.915,3537669
2025-04-25,8.0,8.0,7.816,7.864,2537003
2025-04-28,7.84,7.845,7.774,7.8,2389678
2025-04-29,7.891,7.926,7.816,7.85,2050342
2025-04-30,7.854,7.865,7.797,7.803,1530885
2025-05-06,7.941,7.995,7.905,7.947,2955075
2025-05-07,7.955,8.016,7.927,8.012,1890331
2025-05-08,8.025,8.076,7.872,7.891,2781750
2025-05-09,7.835,7.887,7.754,7.864,1901274
2025-05-12,7.679,7.728,7.674,7.7,1594504
2025-05-13,7.602,7.688,7.542,7.655,1986459
2025-05-14,7.627,7.646,7.584,7.6,1578043
2025-05-15,7.48,7.483,7.311,7.379,3635731
2025-05-16,7.502,7.523,7.473,7.495,2540926
2025-05-19,7.531,7.553,7.512,7.542,1516021
2025-05-20,7.534,7.559,7.515,7.53,1129469
2025-05-21,7.709,7.772,7.702,7.768,1475464
2025-05-22,7.811,7.837,7.776,7.779,1620756
2025-05-23,7.734,7.788,7.699,7.782,1769829
2025-05-26,7.763,7.804,7.752,7.758,990135
2025-05-27,7.763,7.79,7.681,7.689,1522069
2025-05-28,7.695,7.716,7.668,7.7,976616
2025-05-29,7.593,7.635,7.581,7.622,1078758
2025-05-30,7.712,7.726,7.66,7.694,769968
2025-06-03,7.837,7.854,7.792,7.808,1112774
2025-06-04,7.824,7.835,7.79,7.805,1074898
2025-06-05,7.832,7.835,7.802,7.816,763814
2025-06-06,7.811,7.826,7.802,7.811,935339
2025-06-09,7.694,7.728,7.655,7.728,933658
2025-06-10,7.695,7.746,7.678,7.737,948512
2025-06-11,7.752,7.771,7.731,7.757,767608
2025-06-12,7.839,7.845,7.807,7.828,838885
2025-06-13,7.953,7.994,7.903,7.921,2331894
2025-06-16,7.967,7.973,7.885,7.897,1780749
2025-06-17,7.86,7.86,7.801,7.83,1146748
2025-06-18,7.832,7.874,7.808,7.84,888023
2025-06-19,7.835,7.84,7.776,7.796,805357
2025-06-20,7.793,7.796,7.752,7.768,1000722
2025-06-23,7.783,7.815,7.771,7.794,904146
2025-06-24,7.752,7.773,7.681,7.703,1456230
2025-06-25,7.707,7.727,7.706,7.718,575703
2025-06-26,7.719,7.734,7.713,7.734,585441
2025-06-27,7.691,7.702,7.635,7.65,1111733
2025-06-30,7.632,7.648,7.598,7.641,1094662
2025-07-01,7.687,7.731,7.675,7.726,1065798
2025-07-02,7.727,7.748,7.712,7.72,901646
2025-07-03,7.731,7.784,7.731,7.775,603176
2025-07-04,7.726,7.743,7.705,7.736,694693
2025-07-07,7.676,7.694,7.67,7.684,642914
2025-07-08,7.724,7.736,7.717,7.727,966537
2025-07-09,7.684,7.687,7.627,7.642,835637
2025-07-10,7.697,7.709,7.685,7.695,618176
2025-07-11,7.703,7.72,7.699,7.705,633876
2025-07-14,7.762,7.776,7.743,7.774,520112
2025-07-15,7.742,7.777,7.73,7.763,553913
2025-07-16,7.728,7.736,7.707,7.732,708976
2025-07-17,7.73,7.741,7.714,7.725,606299
