date,open,high,low,close,volume
2021-07-01,112.705,112.945,112.674,112.811,14983
2021-07-02,112.83,112.97,112.773,112.866,10938
2021-07-05,112.825,113.06,112.747,112.861,9695
2021-07-06,112.82,112.988,112.754,112.9,12984
2021-07-07,112.9,113.1,112.9,113.03,11462
2021-07-08,113.08,113.444,113.08,113.4,10838
2021-07-09,113.449,113.739,113.449,113.606,16388
2021-07-12,113.6,113.717,113.56,113.64,5742
2021-07-13,113.69,114.16,113.628,114.132,12477
2021-07-14,114.092,114.44,114.0,114.33,10900
2021-07-15,114.38,114.38,113.875,113.886,16441
2021-07-16,113.85,114.06,113.775,113.94,12010
2021-07-19,113.94,113.99,113.822,113.895,10508
2021-07-20,113.89,114.2,113.85,114.101,9575
2021-07-21,114.151,114.2,114.051,114.18,8828
2021-07-22,114.18,114.285,114.081,114.15,11453
2021-07-23,114.1,114.266,114.1,114.203,10024
2021-07-26,114.203,114.452,114.17,114.361,12636
2021-07-27,114.312,114.519,114.265,114.417,11506
2021-07-28,114.368,114.59,114.15,114.461,10729
2021-07-29,114.411,114.411,114.295,114.364,12822
2021-07-30,114.364,114.63,114.364,114.564,9344
2021-08-02,114.631,115.265,114.631,114.851,12001
2021-08-03,114.801,115.2,114.801,115.115,8629
2021-08-04,115.065,115.24,114.903,114.942,8770
2021-08-05,114.938,115.1,114.938,114.997,12519
2021-08-06,114.972,115.047,114.951,115.013,7524
2021-08-09,115.013,115.013,114.616,114.664,10740
2021-08-10,114.615,114.615,114.45,114.55,9269
2021-08-11,114.5,114.5,114.15,114.217,10082
2021-08-12,114.17,114.441,114.17,114.389,13562
2021-08-13,114.288,114.499,114.288,114.485,8153
2021-08-16,114.497,114.551,114.435,114.479,9789
2021-08-17,114.479,114.566,114.43,114.53,9060
2021-08-18,114.54,114.832,114.437,114.784,9322
2021-08-19,114.79,114.87,114.779,114.833,8696
2021-08-20,114.834,114.878,114.783,114.805,9355
2021-08-23,114.755,114.848,114.691,114.756,6660
2021-08-24,114.707,114.95,114.702,114.882,6567
2021-08-25,114.85,115.16,114.809,114.895,7846
2021-08-26,114.89,114.89,114.4,114.504,8956
2021-08-27,114.643,114.692,114.469,114.606,9114
2021-08-30,114.557,114.655,114.556,114.63,6530
2021-08-31,114.64,114.739,114.585,114.718,8302
2021-09-01,114.672,115.049,114.672,115.004,10266
2021-09-02,115.008,115.008,114.852,114.95,8180
2021-09-03,114.95,115.04,114.87,115.0,7797
2021-09-06,115.0,115.108,114.852,114.962,8292
2021-09-07,114.921,114.989,114.9,114.9,8360
2021-09-08,114.9,114.9,114.756,114.79,8435
2021-09-09,114.749,114.832,114.707,114.747,5555
2021-09-10,114.697,114.8,114.696,114.743,8966
2021-09-13,114.74,114.793,114.562,114.592,8659
2021-09-14,114.551,114.587,114.474,114.477,10922
